TYPE,DYN_MassInHalfRad,DM_MassInHalfRad,R_eff,Mass,VelDisp,mangaid
nETGs,11.22,10.893985986005408,0.7404418193964171,11.243624592381865,2.355834495884936,1-135165
nETGs,10.768,10.468785439328009,0.45803277207785353,10.766176944271068,2.2390490931401916,1-135193
nETGs,10.943,10.620875162804312,0.6040093608373771,10.963117497767742,2.3316297176299323,1-135244
nETGs,11.123,10.690914648218458,0.7474910592504426,11.223539056811077,2.3176455432211585,1-135372
nETGs,10.895,10.630328748673357,0.5325000113004322,10.855316904095272,2.276921132065774,1-135554
nETGs,10.789,10.43459615651026,0.6574398849185031,10.83652640659202,2.2062860444124324,1-135664
nETGs,10.763,10.465979071072502,0.70380847284622,10.758953579609862,2.1319392952104246,1-135767
nETGs,10.832,9.505885591298252,0.6361870231646003,11.11203453826632,2.1156105116742996,1-135829
nETGs,11.179,10.876866607923318,0.7873186667939129,11.18010060015586,2.2920344359947364,1-135964
nETGs,11.478,11.30196478213893,0.8884608033045708,11.301796636855828,2.3818367999983434,1-136111
nETGs,11.273,11.15029633887729,0.7331973791456263,10.96519492157838,2.3958503760187813,1-136128
nETGs,10.81,10.458359599088407,0.6465023657997746,10.855323309042545,2.154423973114647,1-136426
nETGs,11.374,11.271456810500474,0.5441915890752381,10.997889273171946,2.212986184736668,1-136508
nETGs,11.695,11.457290206716,1.090046422349319,11.620845631097499,2.4234097277330933,1-137528
nETGs,10.86,10.569202770469383,0.5902853650593874,10.849520301451465,2.190611797813605,1-137799
nETGs,11.229,10.891047257331792,0.7831889223673106,11.26302814390066,2.34908316877959,1-137801
nETGs,11.229,10.891047257331792,0.7747361138438065,11.26302814390066,2.351603072419129,1-137801
nETGs,11.23,11.000389849362394,0.8101660215374233,11.144478053266274,2.325925955771466,1-137845
nETGs,11.221,10.985007275232654,0.8199393063496692,11.144478053266274,2.317854489331469,1-137845
nETGs,11.242,11.057123201783492,0.7701891489427976,11.082963968930045,2.3170181010481117,1-137853
nETGs,11.282,11.116941993712146,0.7244398496038789,11.082963968930045,2.3199384399803087,1-137853
nETGs,10.216,9.507849163176573,0.34966700283831836,10.42238518316145,1.9763499790032735,1-137915
nETGs,10.899,10.467792678167143,0.6807891496642945,10.99902310165416,2.207095540419218,1-138227
nETGs,10.919,10.593698368879055,0.5550955972863002,10.94198665209319,2.3316297176299323,1-1437
nETGs,11.13,10.88858154635288,0.6711730158369296,11.060884311903557,2.323252100171687,1-145871
nETGs,10.931,10.595039860193241,0.8462752434672373,10.963328664112534,2.1595671932336202,1-145922
nETGs,11.11,10.702044817509458,0.7178364184293297,11.195731977346062,2.3240765797394864,1-146271
nETGs,11.063,10.69853958261147,0.7598190932025995,11.118335859906152,2.226342087163631,1-146408
nETGs,11.252,11.070572995877608,0.8682325388559284,11.086387503752185,2.2880255353883627,1-146463
nETGs,11.321,11.131193791566266,0.8981219577400669,11.171103919053007,2.3081373786380386,1-146543
nETGs,10.274,9.76439537860296,0.4401209335823327,10.414312529029159,2.024074987307426,1-146605
nETGs,10.32,9.739644495922844,0.3531483970900097,10.48860850067344,2.1126050015345745,1-147547
nETGs,11.677,11.597035798192966,0.7398886024759568,11.203772490057057,2.364550995353972,1-147602
nETGs,10.105,9.783147799321322,0.2432876592214822,10.124869394744364,2.056142262059052,1-148596
nETGs,10.33,9.848369511689508,0.4470029636831533,10.45717591698614,2.0726174765452368,1-148621
nETGs,10.947,10.765602833753812,0.4075598157513435,10.781329956169172,2.4163075870598827,1-149193
nETGs,10.025,8.557043629854972,0.41547453599485373,10.31098723267573,1.9111576087399766,1-149329
nETGs,10.934,10.585053556081029,0.6462084489272611,10.977151156894413,2.210318519826232,1-149470
nETGs,11.153,10.950209250986754,0.8341014718072841,11.025836793043517,2.249198357391113,1-149541
nETGs,11.478,11.282758242251386,0.9204881284130031,11.337848584317225,2.398981066658131,1-149580
nETGs,10.967,10.770039328240266,0.6171044958684404,10.829860396289973,2.250175948083925,1-149720
nETGs,10.922,10.729156075055135,0.4504021155214093,10.777591770187362,2.216165902285993,1-149871
nETGs,10.621,10.346878439720077,0.4129650607073032,10.592313577387914,2.2332500095411003,1-149878
nETGs,10.573,10.22321203905803,0.3527602731384272,10.616832293149676,2.168202746842631,1-150328
nETGs,11.64,11.373678714988179,1.0150238871439439,11.602274534547199,2.2973227142053028,1-150397
nETGs,11.243,10.814778910157104,0.8744246560660307,11.341255841777185,2.3010299956639813,1-150472
nETGs,11.465,11.273693831051935,1.0711451250483965,11.317827169563065,2.3234583668494677,1-150785
nETGs,11.236,11.011806318267677,0.9180829850985105,11.142583814904981,2.3370597263205246,1-150792
nETGs,11.978,11.899331344177236,0.9573199197332979,11.498306679670428,2.3483048630481607,1-151019
nETGs,11.221,10.836602834367483,0.8334649958818366,11.290912224929677,2.3469394626989906,1-151120
nETGs,11.13,10.906645272992396,0.6074535660992094,11.035339206516648,2.3637999454791094,1-151266
nETGs,11.368,11.141309576156175,0.8780607103474127,11.278252772078025,2.3827372657613304,1-151950
nETGs,11.973,11.810741333364222,1.2126401989769862,11.767847245982548,2.503790683057181,1-151997
nETGs,11.427,11.242170676252787,0.8853604188338775,11.267874490609728,2.4204508591060683,1-152243
nETGs,10.942,10.596672612066717,0.6378891534001996,10.982194397250073,2.1992064791616577,1-152700
nETGs,11.538,11.295602535590902,0.9762586997405525,11.47019762556,2.4415380387021606,1-152720
nETGs,10.941,10.717656901859018,0.7676755926212561,10.84632191281697,2.0149403497929366,1-152742
nETGs,11.228,10.565511998704636,0.8674671216241652,11.42249968210277,2.315550534421905,1-152763
nETGs,11.687,11.507679949040938,1.176178103024878,11.517295190957425,2.3807537708039,1-152791
nETGs,11.648,11.568631008216604,0.741624901093025,11.171816258446807,2.303196057420489,1-153263
nETGs,11.092,10.8727497395114,0.6960949016922484,10.99116286732124,2.3521825181113627,1-153995
nETGs,11.576,11.343148108797472,0.9994353312255823,11.495089027108358,2.4097641042663462,1-154024
nETGs,11.159,11.074546500936211,0.6585838403524752,10.707320656511865,2.244277120801843,1-154037
nETGs,10.861,10.619030889117603,0.7090159572716124,10.792623854947566,2.1720188094245563,1-155440
nETGs,11.206,10.798846429008547,0.9563592987993617,11.291216789973268,2.249931756634195,1-155456
nETGs,10.424,10.292850899495736,0.8720970045614573,10.14108539245486,2.0318122713303706,1-156061
nETGs,11.71,11.519111915136984,0.981093688966752,11.562070776576348,2.4626974081017172,1-158995
nETGs,11.366,11.147240325395316,0.9725263401286383,11.26441478184941,2.299725153975637,1-1595
nETGs,11.116,10.722320779134398,0.7000104633083165,11.192317318944644,2.34966598409663,1-163594
nETGs,11.335,11.064715500921084,0.7992007897822211,11.301910939296356,2.4094258686714434,1-163980
nETGs,10.396,9.735665277310341,0.4010552433024349,10.589899172658559,2.130333768495006,1-163992
nETGs,10.109,9.659426195279888,0.1878030918880966,10.2194807819271,2.0711452904510828,1-164007
nETGs,11.349,11.06061891590422,0.8627866372660817,11.335971606292588,2.34908316877959,1-164064
nETGs,11.188,10.883596017038728,0.7418606617834947,11.19134797709217,2.3575537197430814,1-164351
nETGs,12.156,12.092468785208762,0.9116901517767183,11.5908544062802,2.404149249209695,1-166670
nETGs,11.203,11.01034211831856,0.8057733273009571,11.058258752137837,2.3310221710418286,1-166739
nETGs,11.273,11.037872161832272,0.7871775287616575,11.195277030405503,2.3281756614383227,1-166932
nETGs,11.308,11.096382150360952,0.7659669610768173,11.195277030405503,2.323252100171687,1-166932
nETGs,11.488,11.171575254517817,0.9753854711026848,11.502867671443921,2.375297738217339,1-166959
nETGs,11.367,11.18715553231866,0.8441043848304487,11.198319231103405,2.3823773034681137,1-167044
nETGs,11.295,10.970365956769628,0.7636531471416304,11.317387021502956,2.3677285460869766,1-167423
nETGs,11.382,10.959231412893724,1.000000478594331,11.47697854570485,2.3330440298234874,1-172962
nETGs,10.477,10.111630065772902,0.4352088234217735,10.533026488289979,2.1577588860468637,1-173625
nETGs,10.5,10.173249352024662,0.5375678188197097,10.524282168517537,2.019116290447073,1-173898
nETGs,10.244,9.997739436368107,0.19947996209965346,10.181313035410572,2.1670217957902564,1-174119
nETGs,10.288,9.984983125957255,0.2641073475593928,10.289977829877328,2.0588054866759067,1-174225
nETGs,10.75,10.546218503835881,0.42716182627187177,10.624496532323814,2.256477206241677,1-174629
nETGs,11.166,10.9530972442453,0.7483431752633531,11.055315688937709,2.3527611917238307,1-174781
nETGs,10.756,9.967063331847905,1.109781996871963,10.979974059836193,2.036628895362161,1-174826
nETGs,11.403,11.163447337221227,0.7917601596942074,11.331362086327852,2.4224256763712044,1-174945
nETGs,11.615,11.314578537393306,1.0719919750454332,11.614390613070128,2.4073909044707316,1-1756
nETGs,11.385,11.15920067984674,0.9054710296359076,11.293949268406028,2.329397879361043,1-175911
nETGs,11.105,10.965275128828068,0.6541772433947047,10.845528414465708,2.2688119037397803,1-176422
nETGs,10.927,10.693886110984543,0.786680217186363,10.846458065219629,2.232742062720737,1-176444
nETGs,10.906,10.657323739090023,0.779523526386917,10.846458739135258,2.2273724422896364,1-176444
nETGs,11.098,10.815545716154496,0.9794128326093449,11.078594124833865,2.1983821300082944,1-176554
nETGs,11.829,11.66172300116391,1.008898120366682,11.634724685294987,2.3888114134735234,1-177104
nETGs,11.038,10.753097608145968,0.6789740995528629,11.021250319549365,2.2610248339923973,1-177105
nETGs,12.179,12.056787328541764,1.2785472915139748,11.869687611099687,2.522313795156667,1-177135
nETGs,11.555,11.229539116182222,1.0456364288060476,11.578129435417955,2.3552599055273786,1-177145
nETGs,11.339,11.125889758398621,0.9109438449136278,11.228643431170513,2.322219294733919,1-177308
nETGs,11.335,11.085823802650102,0.8999841527453719,11.276104745506721,2.3068537486930087,1-177336
nETGs,11.68,11.50132139018546,0.986144760504866,11.50903765345749,2.4545399849648186,1-177397
nETGs,10.73,10.314591663694966,0.5324995804768953,10.820448276978619,2.2232362731029975,1-177495
nETGs,11.256,11.123840973968218,0.5896137481768099,10.975937416582065,2.3636119798921444,1-177617
nETGs,10.723,10.316351164627008,0.658298352331154,10.807891598937228,2.160168292958512,1-177659
nETGs,12.002,11.924278016017393,0.9201236219463735,11.517507967654353,2.3963737275365067,1-177923
nETGs,10.361,10.09683052372499,0.31722903146959736,10.320718353237835,2.1861083798132053,1-177974
nETGs,11.486,10.918230893421562,1.0789643891385292,11.65003169763086,2.3400473176613934,1-178533
nETGs,11.155,10.834871418936768,0.7805326550592814,11.173293963695533,2.3081373786380386,1-178695
nETGs,10.64,10.178157389054435,0.43120335708302526,10.75709300426747,2.2111205412580492,1-178894
nETGs,10.889,10.672458396312676,0.5637174599127895,10.784005648998786,2.2598326990634834,1-178906
nETGs,11.171,9.798368120289595,0.7106247471632973,11.453214032831541,2.3406423775607053,1-178916
nETGs,11.183,11.047041248194184,0.698448190481146,10.913445480466672,2.3562171342197353,1-178972
nETGs,11.205,10.811436491319611,0.8708715122916935,11.281238883994401,2.3121773564397787,1-178988
nETGs,10.786,9.64221662663223,0.6435508861536413,11.054664428253316,2.1640552918934515,1-179372
nETGs,10.709,10.230578639985696,0.4795761585162657,10.834587332662712,2.2247919564926817,1-180012
nETGs,10.806,10.523456703190503,0.7323942601504958,10.786691252237436,2.1699681739968923,1-180080
nETGs,11.209,10.813171182021472,0.7921119957301171,11.286768062323517,2.288249225571986,1-180497
nETGs,11.236,11.053383361070706,0.9281907210971562,11.072672531372119,2.3346547668832414,1-180634
nETGs,11.449,11.231443649179347,1.035549727130609,11.345570779305724,2.3581252852766488,1-180813
nETGs,10.703,10.225289707265288,0.5129503509552337,10.828232956292126,2.1470576710283598,1-180900
nETGs,11.622,11.286045725964858,1.098781667000013,11.654323639856226,2.3932241163612975,1-181017
nETGs,10.816,10.539414581742298,0.5931761052315818,10.79009704840208,2.2005769267548483,1-181056
nETGs,11.609,11.456433658713788,0.8862655389142983,11.381652123711914,2.337459261290656,1-181700
nETGs,10.944,10.629023489413232,0.5031089728485812,10.95751254977549,2.1795517911651876,1-181975
nETGs,10.928,10.60767867553353,0.7461668604314735,10.946470731113825,2.219322508419337,1-181988
nETGs,11.1,10.734180170428127,0.7646984593873127,11.156367170763607,2.2778383330020473,1-182730
nETGs,11.078,10.754715002812992,0.705093836672254,11.099169942420204,2.3096301674258988,1-182781
nETGs,11.332,10.893448340404111,0.9158212162953163,11.436288413790708,2.3098430047160705,1-182803
nETGs,10.973,10.507312253387676,0.7405992058578861,11.092107087749257,2.204933522354145,1-182806
nETGs,11.575,11.456905130468733,0.8096265449473063,11.252766488811156,2.3560258571931225,1-187006
nETGs,11.128,10.899164046998587,0.7117221353208589,11.041364432090209,2.2893659515200318,1-187355
nETGs,10.481,9.996280029131166,0.4320067703085612,10.609688812187555,2.1640552918934515,1-187419
nETGs,11.562,11.39372969527932,0.8964708361293205,11.36983118346797,2.4396484295634737,1-187429
nETGs,11.479,11.286977978900191,0.8818983306623437,11.333117547017682,2.431202884556517,1-187495
nETGs,11.188,10.955810322132272,0.763726821513561,11.106153867708324,2.3242824552976926,1-187966
nETGs,11.748,11.545350955956668,1.1028443431891997,11.620598573441592,2.4513258084895195,1-188110
nETGs,11.414,11.000980631863323,0.8496035690012849,11.502950913474345,2.3712526291249394,1-188165
nETGs,11.266,11.057455730460513,0.9532758577564932,11.148336366200885,2.3092041796704077,1-188303
nETGs,10.518,10.24915942745545,0.5499828008413142,10.483232363969377,2.091315159697223,1-189075
nETGs,11.6,11.360722478362685,1.0072361104369094,11.527987979703001,2.4173055832445254,1-189083
nETGs,10.414,9.951146013759862,0.4542346726296687,10.531625400417605,1.9698816437464999,1-1894
nETGs,10.836,10.68245856381868,0.5322458166813352,10.61096002110989,2.2830749747354715,1-189522
nETGs,10.521,10.23343206844852,0.4206148375657229,10.507107259406041,2.101403350555331,1-1923
nETGs,11.361,11.135306157280384,0.908162816307766,11.269794539639486,2.34908316877959,1-195175
nETGs,11.08,10.754190266415604,0.7930930850131788,11.103441861640208,2.276921132065774,1-195405
nETGs,11.159,10.985093503769193,0.5420774316076497,10.978505964228692,2.2513948500401044,1-195465
nETGs,11.251,11.026895665268052,0.8605787829640243,11.157451550409249,2.296665190261531,1-195619
nETGs,11.266,11.052091111891796,0.867586035038266,11.156901205186465,2.313234291694724,1-195623
nETGs,11.513,11.258562190946595,1.007918807870513,11.46080184644083,2.3935752032695876,1-195671
nETGs,10.917,10.553657274996624,0.7127343949136051,10.971483660933492,2.1370374547895126,1-195763
nETGs,10.901,10.217343795481604,0.6336705781914529,11.101205646933268,2.2258259914618934,1-196753
nETGs,11.218,10.865127020164955,0.8222330053411994,11.264309070662579,2.3306166672944384,1-196806
nETGs,11.211,10.951886519229134,0.7093545215990713,11.164601413874305,2.3823773034681137,1-196843
nETGs,11.741,11.520173335448494,1.0372673133046277,11.642552335042472,2.4892551683692603,1-196929
nETGs,11.233,10.946463801393827,0.7311046724027818,11.218005748729677,2.3774883833761327,1-197017
nETGs,11.672,11.401728048438889,1.0687424372229006,11.638896404601484,2.4350476413399647,1-197063
nETGs,11.209,10.95640492373716,0.744605043934028,11.15447731114152,2.3546845539547285,1-197166
